"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"LKD","Lakeland Downs, QL","AU","Lakeland Downs",930.0,-15.8412,144.849
"LKE","Lake Union SPB, WA","US","Seattle",14.0,47.629,-122.339
"LKG","Lokichogio","KE","Lokichoggio",2074.0,4.20412,34.3482
"LKK","Kulik Lake, AK","US","Kulik Lake",717.0,58.9821,-155.121
"LKL","Banak","NO","Lakselv",25.0,70.0688,24.9735
"LKN","LEKNES","NO","Leknes",78.0,68.1525,13.6094
"LKO","Amausi","IN","Lucknow",410.0,26.7606,80.8893
"LKP","Lake Placid, NY","US","Lake Placid",1747.0,44.2645,-73.9619
"LKU","Lake Rudolf","KE","Kalokol",1300.0,3.41626,35.8855
"LKV","Lake County, OR","US","Lakeview",4733.0,42.1611,-120.399
